<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,21/09/16,000000,9.579.0000000,9.595.0000000,9.404.0000000,9.420.0000000,74.564
GMKN,D,22/09/16,000000,9.460.0000000,9.715.0000000,9.432.0000000,9.715.0000000,230.734
GMKN,D,23/09/16,000000,9.699.0000000,9.736.0000000,9.526.0000000,9.730.0000000,148.129
GMKN,D,26/09/16,000000,9.678.0000000,9.735.0000000,9.607.0000000,9.667.0000000,81.132
GMKN,D,27/09/16,000000,9.679.0000000,9.867.0000000,9.667.0000000,9.780.0000000,164.352
GMKN,D,28/09/16,000000,9.802.0000000,10.035.0000000,9.800.0000000,9.952.0000000,233.182
GMKN,D,29/09/16,000000,10.010.0000000,10.060.0000000,9.877.0000000,9.918.0000000,111.014
GMKN,D,30/09/16,000000,9.900.0000000,9.997.0000000,9.765.0000000,9.812.0000000,135.558
GMKN,D,03/10/16,000000,9.813.0000000,9.835.0000000,9.605.0000000,9.648.0000000,102.300
GMKN,D,04/10/16,000000,9.651.0000000,9.727.0000000,9.519.0000000,9.639.0000000,94.374
GMKN,D,05/10/16,000000,9.628.0000000,9.632.0000000,9.420.0000000,9.530.0000000,146.110
GMKN,D,06/10/16,000000,9.478.0000000,9.611.0000000,9.430.0000000,9.475.0000000,124.619
GMKN,D,07/10/16,000000,9.477.0000000,9.558.0000000,9.367.0000000,9.401.0000000,148.755
GMKN,D,10/10/16,000000,9.436.0000000,9.490.0000000,9.397.0000000,9.406.0000000,116.260
GMKN,D,11/10/16,000000,9.411.0000000,9.470.0000000,9.384.0000000,9.450.0000000,99.470
GMKN,D,12/10/16,000000,9.453.0000000,9.498.0000000,9.370.0000000,9.432.0000000,119.404
GMKN,D,13/10/16,000000,9.422.0000000,9.442.0000000,9.305.0000000,9.400.0000000,129.159
GMKN,D,14/10/16,000000,9.420.0000000,9.458.0000000,9.350.0000000,9.390.0000000,56.925
GMKN,D,17/10/16,000000,9.371.0000000,9.416.0000000,9.206.0000000,9.250.0000000,148.819
GMKN,D,18/10/16,000000,9.293.0000000,9.404.0000000,9.263.0000000,9.364.0000000,102.010
GMKN,D,19/10/16,000000,9.366.0000000,9.389.0000000,9.220.0000000,9.269.0000000,104.099
GMKN,D,20/10/16,000000,9.268.0000000,9.297.0000000,9.200.0000000,9.200.0000000,61.736
GMKN,D,21/10/16,000000,9.200.0000000,9.380.0000000,9.154.0000000,9.376.0000000,88.839
GMKN,D,24/10/16,000000,9.385.0000000,9.396.0000000,9.210.0000000,9.250.0000000,89.842
GMKN,D,25/10/16,000000,9.253.0000000,9.406.0000000,9.231.0000000,9.304.0000000,95.865
GMKN,D,26/10/16,000000,9.305.0000000,9.377.0000000,9.250.0000000,9.307.0000000,89.101
GMKN,D,27/10/16,000000,9.325.0000000,9.509.0000000,9.319.0000000,9.451.0000000,133.685
GMKN,D,28/10/16,000000,9.428.0000000,9.459.0000000,9.311.0000000,9.345.0000000,80.585
GMKN,D,31/10/16,000000,9.378.0000000,9.389.0000000,9.200.0000000,9.344.0000000,169.372
GMKN,D,01/11/16,000000,9.351.0000000,9.422.0000000,9.310.0000000,9.310.0000000,114.324
GMKN,D,02/11/16,000000,9.298.0000000,9.309.0000000,9.200.0000000,9.200.0000000,96.909
GMKN,D,03/11/16,000000,9.200.0000000,9.249.0000000,9.137.0000000,9.157.0000000,103.202
GMKN,D,07/11/16,000000,9.231.0000000,9.388.0000000,9.217.0000000,9.230.0000000,168.008
GMKN,D,08/11/16,000000,9.309.0000000,9.442.0000000,9.309.0000000,9.400.0000000,130.388
GMKN,D,09/11/16,000000,9.290.0000000,9.621.0000000,9.290.0000000,9.590.0000000,208.549
GMKN,D,10/11/16,000000,9.643.0000000,10.425.0000000,9.641.0000000,10.046.0000000,557.163
GMKN,D,11/11/16,000000,10.201.0000000,10.379.0000000,10.052.0000000,10.150.0000000,442.872
